code,description,price,category
GB01,Giò heo hầm kiểu thái lan 1pack,15000,Sauces
GB04,Phở gà 1pack,6500,Sauces
GB06,Set rau bún phở 1pack (200g),1000,Sauces
KK01,thịt viên chiên 1kg,10000,Other
KK02,chả giò 700g,8000,Other
KK03,Xúc xích cơm 500g,7000,Other
KK05,xúc xích miến 500g,7000,Other
KK09,gà ủ muối 1ea,12000,Other
KK12,xương gà tẩm gia vị 500g,2000,Other
KK16,Nước mắm pha sẵn RED 1ea,4000,Sauces
KK17,Nước mắm pha sẵn GREEN 1ea,4000,Sauces
KK20,Phở bò 1pack,6000,Sauces
KK21,Muối ớt đỏ 1EA,2000,Sauces
KK22,Bún Bò Huế 1pack,6500,Sauces
KK25,Lạp xưởng 1pack (500g),8000,Pork
KK32,Bún Riêu 1pack,6500,Sauces
PG01,thịt mông 1kg,6500,Pork
PG02,thịt nạc lộn mỡ 1kg,5700,Pork
PG02-5,thịt nạc lộn mỡ ★5kg★,27000,Pork
PG03,thịt xay 1kg,5700,Pork
PG05*2,sườn non ba chỉ ★2kg★,10000,Pork
PG06,thịt cổ 1kg,9000,Pork
PG07,Thịt ba chỉ cắt lát 1kg,10000,Pork
PG07-1,Thịt ba chỉ nguyên tảng lọc da 1kg,10000,Pork
PG08,Ba Chỉ có da 1kg,11000,Pork
PG09,sườn thanh 1kg,9000,Pork
PG12,chân dò lợn L 1ea,10000,Pork
PG15,vú sữa 1kg,5000,Pork
PG16,tai lợn 1set,2000,Pork
PG17,mỡ lợn 1kg,3500,Pork
PG17*4,mỡ lợn ★4kg★,12000,Pork
PG18,lưỡi lợn 2ea,4000,Pork
PG20,dạ dày 1ea,3000,Pork
PG21,gan lợn 1ea,3000,Pork
PG24,đuôi lợn 1kg,4000,Pork
PG26,đầu lợn 1ea,25000,Pork
PG27,thịt mỡ xay 1kg,3500,Pork
PG27-3,thịt mỡ xay ★3kg★,9000,Pork
PG30,Khấu đuôi 1kg,10000,Pork
PG32,tim lợn 3ea,4000,Pork
CK01,đùi gà 1kg,5900,Chicken
CK02,cánh gà 1kg,8000,Chicken
CK03,con gà nhỏ 1ea,6000,Chicken
CK04,Gà dai 1ea,6000,Chicken
CK07,thịt sụn gà 1kg,7000,Chicken
CK09,chân gà 1kg,5000,Chicken
CK09*2,chân gà ★2kg★,9000,Chicken
CK10,mề gà 1kg,5000,Chicken
CK11,Thịt gà vụn 1kg,3800,Chicken
CK12-1,ức gà 1kg,6000,Chicken
CK15,xương gà 1kg,2000,Chicken
CK15*3,xương gà ★3kg★,5000,Chicken
CK16,phao câu 1kg,2500,Chicken
CK19,chân gà rút xương 1kg,15000,Chicken
CK20,cổ gà 1kg,4000,Chicken
CK20*3,cổ gà ★3kg★,9000,Chicken
CK21,cánh tỏi gà 1kg,7000,Chicken
CK22,cánh gà giữa 1kg,9000,Chicken
CK23,Nội tảng gà 1kg,9000,Chicken
DU01,con vịt 1ea,15000,Duck
DU02,cánh vịt 1kg,4000,Duck
CW02,thịt bò ba chỉ cắt lát 1kg,12500,Beef
CW02-1,thịt bò ba chỉ 1kg,12500,Beef
CW03,Mặt bò 3kg,29000,Beef
CW04,xương sụn 1kg,6000,Beef
CW05,sườn bò 1kg,11000,Beef
CW06,xương ống bò 1kg,6000,Beef
CW07,thịt bò xay 1kg,12000,Beef
CW08,chân dò bò 2kg,20000,Beef
CW09,xách bò 1kg,7000,Beef
CW10,bắp bò 1kg,19000,Beef
CW12,Gầu bò 1kg,16000,Beef
CW13,Tổng hợp nội tạng bò 1kg,7000,Beef
CW14,gan bò 1kg,5000,Beef
CW16,Lòng Bò 1kg,11000,Beef
CW17,xương cổ bò 1kg,8000,Beef
CW18,lưỡi bò 1kg,13000,Beef
SE01,Tôm 1kg,14000,Seafood
SE01-02,Tôm 2030 2kg,26000,Seafood
SE01-03,Tôm 3040 2kg,29000,Seafood
SE01-04,Tôm 4050 2kg,27000,Seafood
SE02-1,ghẹ 1pack,6000,Seafood
SE03,cá nục 1kg,4500,Seafood
SE04,Cá nục hoa 1kg,5000,Seafood
SE05,cá diều hồng 1pack,7000,Seafood
SE06,Cá rô phi 1pack,6000,Seafood
SE07,cá trê 1ea,6000,Seafood
SE08,Ruột sò huyết 200g,2000,Seafood
SE10,Mực ống lỡ 1kg,7000,Seafood
SE13,mực nang nhỏ 1pack,3000,Seafood
SE13*4,mực nang nhỏ ★4pack★,10000,Seafood
SE14,mực 1kg,10000,Seafood
SE16,nực cắt 1kg,5000,Seafood
SE18,tép đồng 400g,5000,Seafood
SE21,Chả cá thát lát 450g,12000,Seafood
SE22,cá đù 1pack,5000,Seafood
SE23,mực hình quả thông 1kg,6900,Seafood
SE24,viên chiên tôm 1pack,4000,Seafood
SE26,viên chiên bạch tuộc 1pack,4000,Seafood
SE31,cá basa 1 vỉ(450g),4000,Seafood
SE32,cá lóc cắt khúc 450g 1 vỉ,6700,Seafood
SE33,Tôm Sú 500g 1 vỉ,12500,Seafood
SE35,Đầu mực nang 420g,8200,Seafood
SE37,viên cá rô thì là 500g,5500,Seafood
SC01,MẮM NÊM THÁI LAN 350ml,3100,Sauces
SC03,NƯỚC CỐT CHANH 300ml,1500,Sauces
SC04,MÌ CHÍNH 500g,4500,Sauces
SC06,Dầu hào 1 chai,3000,Sauces
SC07,CÁ BA CÔ GÁI 155g,1800,Sauces
SC08,BỘT ỚT KHÔ 1 túi,6000,Sauces
SC12,BÚN KHÔ 300g,2500,Sauces
SC13,MĂNG NGÂM THÁI NHỎ 1 túi,2900,Sauces
SC14,MIẾN KHÔ 200g,1700,Sauces
SC15,PHỞ 80g 3ea,5000,Sauces
SC16,DẤM 700ml,3500,Sauces
SC27,CỤC ME 1ea,2200,Sauces
SC34,NƯỚC CỐT DỪA 500ml,3500,Sauces
SC37,TƯƠNG BẦN 350g,2900,Sauces
SC38,Nước tương 1ea,3500,Sauces
SC39,TƯƠNG ỚT THÁI 300ml,3500,Sauces
SC44,TỎI MUỐI 500ml,3500,Sauces
SC45,BÚN TƯƠI 300g,1900,Sauces
SC47,bánh tráng 300g,2800,Sauces
SC48,bánh đa mè đen 300g,2600,Sauces
SC49,hạt nêm knorr 400g,4600,Sauces
SC50,NƯỚC MẮM NAM NGƯ 900ml,5000,Sauces
SC51,chinsu tam thái tử 500ml,3400,Sauces
SC52,mắm tôm trung thành 300g,4600,Sauces
SC53,bột súp 200g,1500,Sauces
SC54,Sate Tom 100ml,3000,Sauces
SC56,CHIN-SU chili sauce 250g,2000,Sauces
SC62,Nước cốt dừa nấu ăn 1ea,3300,Sauces
SC63,Dầu ăn 500ml,3900,Sauces
SC64,Lon Ngô ngọt 425g,2000,Sauces
SC65,nước cốt chanh 500ml,1500,Sauces
SC66,Đường 1kg,3500,Sauces
